target_current,voltage,predicted_current
0.02,0.65,6.892054857979372
0.04,0.66,7.013455681986097
0.06,0.68,7.0844706115866805
0.08,0.68,7.134856505992823
0.1,0.69,7.173938841983064
0.12,0.69,7.205871435593406
0.14,0.7,7.232870058796502
0.16,0.7,7.256257329999548
0.18,0.7,7.276886365193989
0.2,0.71,7.29533966598979
0.22,0.71,7.31203270707686
0.24,0.71,7.330899157951043
0.26,0.72,7.355432648883651
0.28,0.72,7.3781471136451735
0.3,0.72,7.399293774424608
0.32,0.73,7.419075154504733
0.34,0.73,7.437656904833476
0.36,0.73,7.455176245051002
0.38,0.73,7.471748119258403
0.4,0.74,7.487469770978296
0.42,0.74,7.502424200745132
0.44,0.74,7.516682818612213
0.46,0.74,7.530307506552781
0.48,0.75,7.5433522416046905
0.5,0.75,7.5558643874518605
0.52,0.75,7.567885732537299
0.54,0.75,7.579453332150961
0.56,0.75,7.590600197298821
0.58,0.76,7.60135586263581
0.6,0.76,7.611746858078256
0.62,0.76,7.621797103057357
0.64,0.76,7.6315282381583796
0.66,0.76,7.6409599057121715
0.68,0.76,7.650109988487124
0.7,0.76,7.6589948137723844
0.72,0.77,7.66762932870465
0.74,0.77,7.676027251567885
0.76,0.77,7.6842012029120506
0.78,0.77,7.692162819637257
0.8,0.77,7.699922854631944
0.82,0.77,7.707491264106035
0.84,0.77,7.714877284398779
0.86,0.77,7.722089499747706
0.88,0.78,7.729135902265861
0.9,0.78,7.736023945178213
0.92,0.78,7.742760590206428
0.94,0.78,7.749352349857229
0.96,0.78,7.755805325258338
0.98,0.78,7.762125240092909
1.0,0.78,7.768317471105508
1.02,0.78,7.774387075587082
1.04,0.78,7.780338816190946
1.06,0.78,7.786177183384896
1.08,0.78,7.7919064158046085
1.1,0.79,7.797530518739424
1.12,0.79,7.803053280952469
1.14,0.79,7.808478290012009
1.16,0.79,7.813808946289457
1.18,0.79,7.819048475760762
