Voltage,Current
0.0,0.0
0.01,0.16365239368983947
0.02,0.36641715313251233
0.03,0.5804948063642833
0.04,0.7958319082531569
0.05,1.0111690101420305
0.06,1.2184517975474634
0.07,1.4211490465857155
0.08,1.6238462956239674
0.09,1.8265435446622194
0.1,2.0292407937004717
0.11,2.231938042738723
0.12,2.403459388751489
0.13,2.5745680172590797
0.14,2.7456766457666704
0.15,2.9167852742742606
0.16,3.0878939027818513
0.17,3.2590025312894415
0.18,3.3939849625642435
0.19,3.516671890555955
0.2,3.6393588185476657
0.21,3.7620457465393766
0.22,3.8847326745310875
0.23,3.960736355791638
0.24,4.036553304065265
0.25,4.112370252338892
0.26,4.18818720061252
0.27,4.264004148886147
0.28,4.339821097159774
0.29,4.4156380454334005
0.3,4.491454993707028
0.31,4.567271941980655
0.32,4.641815479860913
0.33,4.715112478152624
0.34,4.788409476444334
0.35,4.861706474736046
0.36,4.935003473027756
0.37,5.001985717916596
0.38,5.061663786327059
0.39,5.121341854737522
0.4,5.184108982991042
0.41,5.25905169338219
0.42,5.333566021968717
0.43,5.405117442637564
0.44,5.47666886330641
0.45,5.548220283975256
0.46,5.61464193182522
0.47,5.688306850241659
0.48,5.765792708192633
0.49,5.843278566143607
0.5,5.91583142006865
0.51,5.981446911078332
0.52,6.047062402088014
0.53,6.11393358489374
0.54,6.187710594401086
0.55,6.261487603908432
0.56,6.328888128229093
0.57,6.394503619238775
0.58,6.460119110248456
0.59,6.525734601258139
0.6,6.591350092267821
0.61,6.656965583277503
0.62,6.722581074287185
0.63,6.788196565296866
0.64,6.853812056306548
0.65,6.91942754731623
0.66,6.985043038325912
0.67,7.050658529335594
0.68,7.116274020345276
0.69,7.181889511354958
0.7,7.24750500236464
0.71,7.3131204933743215
0.72,7.378387333241878
0.73,7.442023849295194
0.74,7.505660365348509
0.75,7.569296881401825
0.76,7.63293339745514
0.77,7.696569913508456
0.78,7.760206429561771
0.79,7.823842945615087
0.8,7.887479461668402
0.81,7.9511159777217175
0.82,8.010413317270327
0.83,8.062964507087704
0.84,8.121455846197694
0.85,8.180540090214848
0.86,8.239624334232
0.87,8.298708578249153
0.88,8.357792822266306
0.89,8.41687706628346
0.9,8.475961310300612
0.91,8.535045554317765
0.92,8.594000162189573
0.93,8.64437326554243
0.94,8.694746368895288
0.95,8.745119472248145
0.96,8.795492575601003
0.97,8.84586567895386
0.98,8.896238782306716
0.99,8.946611885659573
1.0,8.99698498901243
1.01,9.048299466328857
1.02,9.106378742732154
1.03,9.164458019135454
1.04,9.222537295538753
1.05,9.280616571942053
1.06,9.338695848345353
1.07,9.39677512474865
1.08,9.45485440115195
1.09,9.510983770216562
1.1,9.564351690666195
1.11,9.617719611115827
1.12,9.67108753156546
1.13,9.724455452015093
1.14,9.777823372464725
1.15,9.831191292914358
1.16,9.884559213363989
1.17,9.937927133813622
1.18,9.991295054263254
1.19,10.046557064547242
1.2,10.101966687996294
1.21,10.157376311445345
1.22,10.212785934894395
1.23,10.268195558343447
1.24,10.323605181792498
1.25,10.37901480524155
1.26,10.4344244286906
1.27,10.489834052139651
1.28,10.54398276940093
1.29,10.596533959218307
1.3,10.649085149035685
1.31,10.701636338853062
1.32,10.754187528670439
1.33,10.806738718487816
1.34,10.859289908305193
1.35,10.91184109812257
1.36,10.964392287939948
1.37,11.016943477757325
1.38,11.069781245114648
1.39,11.126688005236385
1.4,11.183594765358121
1.41,11.240501525479857
1.42,11.297408285601595
1.43,11.354315045723332
1.44,11.41122180584507
1.45,11.468128565966806
1.46,11.525035326088544
1.47,11.580819329278999
1.48,11.631192432631856
1.49,11.681565535984713
1.5,11.73193863933757
1.51,11.782311742690428
1.52,11.832684846043286
1.53,11.883057949396143
1.54,11.933431052749
1.55,11.983804156101858
1.56,12.316481470194836
1.57,12.3603212341223
1.58,12.404160998049763
1.59,12.40845558940708
