current_amplitude_A,deflection_cm
-2.5,-8.55
-2.3,-7.87
-2.0,-6.84
-1.8,-6.16
-1.5,-5.13
-1.2,-4.1
-1.0,-3.42
-0.8,-2.74
-0.5,-1.71
-0.3,-1.03
0.0,0.0
0.2,0.68
0.4,1.37
0.7,2.39
0.9,3.08
1.1,3.76
1.3,4.45
1.6,5.47
1.8,6.16
2.0,6.84
2.2,7.52
2.5,8.55
