current_amplitude_A,deflection_cm
-2.5,-12.75
-2.3,-11.73
-2.0,-10.2
-1.8,-9.18
-1.5,-7.65
-1.2,-6.12
-1.0,-5.1
-0.8,-4.08
-0.5,-2.55
-0.3,-1.53
0.0,0.0
0.2,1.02
0.4,2.04
0.7,3.57
0.9,4.59
1.1,5.61
1.3,6.63
1.6,8.16
1.8,9.18
2.0,10.2
2.2,11.22
2.5,12.75
